"Date","TQQQ.Open","TQQQ.High","TQQQ.Low","TQQQ.Close","TQQQ.Volume","TQQQ.Adjusted"
2020-01-02,22.1774997711182,22.7099990844727,22.0550003051758,22.7099990844727,65536000,21.8426342010498
2020-01-03,21.8225002288818,22.5,21.8099994659424,22.0925006866455,72590000,21.2487182617188
2020-01-06,21.5674991607666,22.5200004577637,21.4874992370605,22.5125007629395,64047600,21.652681350708
2020-01-07,22.5349998474121,22.6949996948242,22.2900009155273,22.4850006103516,53849600,21.6262264251709
2020-01-08,22.4899997711182,23.3199996948242,22.3824996948242,23.0025005340576,79582400,22.1239624023438
2020-01-09,23.5575008392334,23.7150001525879,23.1800003051758,23.5825004577637,72711600,22.681812286377
2020-01-10,23.8474998474121,23.8675003051758,23.2824993133545,23.3899993896484,68802000,22.4966621398926
2020-01-13,23.6825008392334,24.2199993133545,23.5774993896484,24.2075004577637,58279200,23.2829399108887
2020-01-14,24.1450004577637,24.2875003814697,23.8050003051758,23.9249992370605,72868800,23.0112323760986
2020-01-15,23.9449996948242,24.2824993133545,23.7049999237061,23.9400005340576,66501600,23.0256614685059
2020-01-16,24.2775001525879,24.6224994659424,24.1324996948242,24.6075000762939,60550400,23.6676635742188
2020-01-17,24.9274997711182,25.0349998474121,24.5650005340576,24.9750003814697,72201200,24.0211296081543
2020-01-21,24.7574996948242,25.1275005340576,24.7399997711182,24.9624996185303,69441200,24.009105682373
2020-01-22,25.3075008392334,25.5725002288818,25.0450000762939,25.1324996948242,68074400,24.1726131439209
2020-01-23,25.0825004577637,25.3974990844727,24.7425003051758,25.3649997711182,71794400,24.3962287902832
2020-01-24,25.7250003814697,25.8024997711182,24.3775005340576,24.7075004577637,119687200,23.763843536377
2020-01-27,23.0625,23.5874996185303,22.5450000762939,23.1800003051758,99313200,22.2946872711182
2020-01-28,23.6625003814697,24.4174995422363,23.4950008392334,24.2574996948242,85931200,23.331033706665
2020-01-29,24.6574993133545,24.7399997711182,24.0450000762939,24.3449993133545,68938800,23.415189743042
2020-01-30,23.8999996185303,24.6499996185303,23.6625003814697,24.6200008392334,100124800,23.6796875
2020-01-31,24.9200000762939,24.9375,23.1875,23.4099998474121,110192000,22.5158977508545
2020-02-03,23.7775001525879,24.6650009155273,23.7325000762939,24.4850006103516,86844000,23.5498428344727
2020-02-04,25.5,26.3125,25.2549991607666,26.1574993133545,70124400,25.1584625244141
2020-02-05,27.1399993896484,27.1450004577637,25.9724998474121,26.4599990844727,87306000,25.4494094848633
