"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
2020-01-02,323.540008544922,324.890014648438,322.529998779297,324.869995117188,59151200,296.125244140625
2020-01-03,321.160003662109,323.640014648438,321.100006103516,322.410003662109,77709700,293.882995605469
2020-01-06,320.489990234375,323.730010986328,320.359985351562,323.640014648438,55653900,295.004119873047
2020-01-07,323.019989013672,323.540008544922,322.239990234375,322.730010986328,40496400,294.174652099609
2020-01-08,322.940002441406,325.779998779297,322.670013427734,324.450012207031,68296000,295.742523193359
2020-01-09,326.160003662109,326.730010986328,325.519989013672,326.649993896484,48473300,297.747833251953
2020-01-10,327.290008544922,327.459991455078,325.200012207031,325.709991455078,53029300,296.890991210938
2020-01-13,326.390014648438,327.959991455078,325.920013427734,327.950012207031,47086800,298.932769775391
2020-01-14,327.470001220703,328.619995117188,326.839996337891,327.450012207031,62832800,298.47705078125
2020-01-15,327.350006103516,329.019989013672,327.260009765625,328.190002441406,72056600,299.151519775391
2020-01-16,329.700012207031,330.920013427734,329.450012207031,330.920013427734,54050300,301.639953613281
2020-01-17,331.700012207031,332.179992675781,330.850006103516,331.950012207031,95846000,302.578857421875
2020-01-21,330.899993896484,332.179992675781,330.820007324219,331.299987792969,77742400,301.986328125
2020-01-22,332.239990234375,332.950012207031,331.170013427734,331.339996337891,48914900,302.022827148438
2020-01-23,330.630004882812,332.170013427734,329.410003662109,331.720001220703,51963000,302.369171142578
2020-01-24,332.440002441406,332.529998779297,327.359985351562,328.769989013672,87578400,299.680145263672
2020-01-27,323.029998779297,325.119995117188,322.660003662109,323.5,84062500,294.87646484375
2020-01-28,325.059997558594,327.850006103516,323.600006103516,326.890014648438,63834000,297.966583251953
2020-01-29,328.380004882812,328.630004882812,326.399993896484,326.619995117188,53888900,297.720428466797
2020-01-30,324.359985351562,327.910003662109,323.540008544922,327.679992675781,75491800,298.686676025391
2020-01-31,327,327.170013427734,320.730010986328,321.730010986328,113845600,293.263122558594
2020-02-03,323.350006103516,326.160003662109,323.220001220703,324.119995117188,69083000,295.441619873047
2020-02-04,328.070007324219,330.010009765625,327.720001220703,329.059997558594,62573200,299.944580078125
2020-02-05,332.269989013672,333.089996337891,330.670013427734,332.859985351562,65951100,303.408325195312
2020-02-06,333.910003662109,334.190002441406,332.799987792969,333.980010986328,50359700,304.429229736328
2020-02-07,332.820007324219,333.989990234375,331.600006103516,332.200012207031,64139400,302.806762695312
2020-02-10,331.230010986328,334.75,331.190002441406,334.679992675781,42070000,305.0673828125
2020-02-11,336.160003662109,337.019989013672,334.679992675781,335.260009765625,54864500,305.595916748047
2020-02-12,336.829986572266,337.649993896484,336.429992675781,337.420013427734,43992700,307.564910888672
2020-02-13,335.859985351562,338.119995117188,335.559997558594,337.059997558594,54501900,307.236694335938
2020-02-14,337.510009765625,337.730010986328,336.200012207031,337.600006103516,64582200,307.72900390625
2020-02-18,336.510009765625,337.670013427734,335.209991455078,336.730010986328,57226200,306.935913085938
2020-02-19,337.790008544922,339.079986572266,337.480010986328,338.339996337891,48814700,308.403411865234
2020-02-20,337.739990234375,338.640014648438,333.679992675781,336.950012207031,74163400,307.136535644531
2020-02-21,335.470001220703,335.809997558594,332.579986572266,333.480010986328,113788200,303.973388671875
2020-02-24,323.140014648438,333.559997558594,321.239990234375,322.420013427734,161088400,293.891967773438
2020-02-25,323.940002441406,324.609985351562,311.690002441406,312.649993896484,218913200,284.986419677734
2020-02-26,314.179992675781,318.109985351562,310.700012207031,311.5,194773800,283.938262939453
2020-02-27,305.459991455078,311.559997558594,297.510009765625,297.510009765625,284353500,271.186157226562
2020-02-28,288.700012207031,297.890014648438,285.540008544922,296.260009765625,384975800,270.046783447266
2020-03-02,298.209991455078,309.160003662109,294.459991455078,309.089996337891,238703600,281.741516113281
2020-03-03,309.5,313.839996337891,297.570007324219,300.239990234375,300139100,273.674499511719
2020-03-04,306.119995117188,313.100006103516,303.329986572266,312.859985351562,176613400,285.177886962891
2020-03-05,304.980010986328,308.470001220703,300.010009765625,302.459991455078,186366800,275.698120117188
2020-03-06,293.149993896484,298.779998779297,290.230010986328,297.459991455078,228667200,271.140563964844
2020-03-09,275.299987792969,284.190002441406,273.450012207031,274.230010986328,309417300,249.965942382812
2020-03-10,284.640014648438,288.519989013672,273.5,288.420013427734,276444100,262.900390625
2020-03-11,280.700012207031,281.940002441406,270.880004882812,274.359985351562,255316300,250.084503173828
2020-03-12,256,266.660003662109,247.679992675781,248.110000610352,392220700,226.15705871582
2020-03-13,263.089996337891,271.480010986328,248.520004272461,269.320007324219,329566100,245.490371704102
2020-03-16,241.179992675781,256.899993896484,237.360000610352,239.850006103516,297240000,218.627883911133
2020-03-17,245.039993286133,256.170013427734,237.070007324219,252.800003051758,262070500,230.432067871094
2020-03-18,236.25,248.369995117188,228.020004272461,240,327597100,218.764663696289
2020-03-19,239.25,247.380004882812,232.220001220703,240.509994506836,289322000,219.229537963867
2020-03-20,242.529998779297,244.470001220703,228.5,228.800003051758,347158800,209.782043457031
2020-03-23,228.190002441406,229.679992675781,218.259994506836,222.949996948242,326025200,204.418243408203
2020-03-24,234.419998168945,244.100006103516,233.800003051758,243.149993896484,235494500,222.939193725586
2020-03-25,244.869995117188,256.350006103516,239.75,246.789993286133,299430300,226.276657104492
2020-03-26,249.520004272461,262.799987792969,249.050003051758,261.200012207031,257632800,239.488891601562
2020-03-27,253.270004272461,260.809997558594,251.050003051758,253.419998168945,224341200,232.355575561523
2020-03-30,255.699996948242,262.429992675781,253.529998779297,261.649993896484,171369500,239.901489257812
2020-03-31,260.559997558594,263.329986572266,256.220001220703,257.75,194881100,236.32568359375
2020-04-01,247.979995727539,257.660003662109,243.899993896484,246.149993896484,189554600,225.689849853516
2020-04-02,245.190002441406,252.679992675781,244.589996337891,251.830001831055,177660400,230.897720336914
2020-04-03,250.759994506836,253.320007324219,245.220001220703,248.190002441406,135561200,227.560256958008
2020-04-06,257.839996337891,267,248.169998168945,264.859985351562,188061200,242.844711303711
2020-04-07,274.209991455078,275.029998779297,264.890014648438,265.130004882812,201427200,243.092224121094
2020-04-08,267.959991455078,276,265.25,274.029998779297,153774500,251.252471923828
2020-04-09,277.579986572266,281.200012207031,275.470001220703,278.200012207031,189999200,255.075836181641
2020-04-13,277.140014648438,277.510009765625,271.410003662109,275.660003662109,114839100,252.746978759766
2020-04-14,280.980010986328,284.899993896484,275.510009765625,283.790008544922,134143400,260.201202392578
2020-04-15,277.570007324219,283.940002441406,275.459991455078,277.760009765625,121775000,254.672485351562
2020-04-16,279.149993896484,280.029998779297,275.760009765625,279.100006103516,131798300,255.901016235352
2020-04-17,285.380004882812,287.299987792969,282.399993896484,286.640014648438,146684800,262.814270019531
2020-04-20,282.609985351562,286.790008544922,281.350006103516,281.589996337891,100109300,258.184020996094
2020-04-21,276.730010986328,278.040008544922,272.019989013672,273.040008544922,126385700,250.344665527344
2020-04-22,278.350006103516,281,276.910003662109,279.100006103516,92951600,255.901016235352
2020-04-23,280.489990234375,283.940002441406,278.75,279.079986572266,104709700,255.882690429688
2020-04-24,280.730010986328,283.700012207031,278.5,282.970001220703,85063200,259.449432373047
2020-04-27,285.119995117188,288.269989013672,284.619995117188,287.049987792969,77896600,263.190216064453
2020-04-28,291.019989013672,291.399993896484,285.399993896484,285.730010986328,105270000,261.979949951172
2020-04-29,291.529998779297,294.880004882812,290.410003662109,293.209991455078,118745600,268.838165283203
2020-04-30,291.709991455078,293.320007324219,288.589996337891,290.480010986328,122901700,266.335144042969
2020-05-01,285.309997558594,290.660003662109,281.519989013672,282.790008544922,125180000,259.284362792969
2020-05-04,280.739990234375,283.899993896484,279.130004882812,283.570007324219,80873200,259.999450683594
2020-05-05,286.640014648438,289.25,283.709991455078,286.190002441406,79569900,262.401611328125
2020-05-06,288.040008544922,288.459991455078,283.779998779297,284.25,73632600,260.622924804688
2020-05-07,287.75,289.779998779297,287.130004882812,287.679992675781,75250400,263.767913818359
2020-05-08,291.089996337891,292.950012207031,289.859985351562,292.440002441406,76452400,268.132263183594
2020-05-11,290.339996337891,294,289.880004882812,292.5,79514200,268.187133789062
2020-05-12,293.790008544922,294.239990234375,286.519989013672,286.670013427734,95870800,262.841918945312
2020-05-13,286.059997558594,287.190002441406,278.959991455078,281.600006103516,144721100,258.193267822266
2020-05-14,278.950012207031,285.109985351562,272.989990234375,284.970001220703,121977900,261.283050537109
2020-05-15,282.369995117188,286.329986572266,281.339996337891,286.279998779297,111146300,262.484222412109
2020-05-18,293.049987792969,296.75,292.700012207031,295,119703800,270.479370117188
2020-05-19,294.350006103516,296.209991455078,291.950012207031,291.970001220703,95189300,267.701232910156
2020-05-20,295.820007324219,297.869995117188,295.570007324219,296.929992675781,85861700,272.248992919922
2020-05-21,296.790008544922,297.670013427734,293.690002441406,294.880004882812,78293900,270.369415283203
2020-05-22,294.570007324219,295.630004882812,293.220001220703,295.440002441406,63958200,270.882781982422
2020-05-26,301.929992675781,302.190002441406,295.459991455078,299.079986572266,88951400,274.220245361328
2020-05-27,302.119995117188,303.570007324219,296.869995117188,303.529998779297,104817400,278.300354003906
2020-05-28,304.649993896484,306.839996337891,302.239990234375,302.970001220703,90405200,277.786956787109
2020-05-29,302.459991455078,304.959991455078,299.470001220703,304.320007324219,119090800,279.024719238281
2020-06-01,303.619995117188,306.209991455078,303.059997558594,305.549987792969,55758300,280.152496337891
2020-06-02,306.549987792969,308.130004882812,305.100006103516,308.079986572266,74267200,282.472137451172
2020-06-03,310.239990234375,313.220001220703,309.940002441406,312.179992675781,92567600,286.231292724609
2020-06-04,311.109985351562,313,309.079986572266,311.359985351562,75794400,285.479583740234
2020-06-05,317.230010986328,321.269989013672,317.160003662109,319.339996337891,150524700,292.796234130859
2020-06-08,320.220001220703,323.410003662109,319.630004882812,323.200012207031,73641200,296.33544921875
2020-06-09,320.299987792969,323.279998779297,319.359985351562,320.790008544922,77479200,294.125732421875
2020-06-10,321.420013427734,322.390014648438,318.220001220703,319,95000800,292.484466552734
2020-06-11,311.459991455078,312.149993896484,300.010009765625,300.609985351562,209243600,275.623107910156
2020-06-12,308.239990234375,309.079986572266,298.600006103516,304.209991455078,194678900,278.923858642578
2020-06-15,298.019989013672,308.279998779297,296.739990234375,307.049987792969,135782700,281.527862548828
2020-06-16,315.480010986328,315.640014648438,307.670013427734,312.959991455078,137627500,286.946502685547
