"Date","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume","QQQ.Adjusted"
2020-01-02,214.399993896484,216.160003662109,213.979995727539,216.160003662109,30969400,208.84895324707
2020-01-03,213.300003051758,215.470001220703,213.279998779297,214.179992675781,27518900,206.935928344727
2020-01-06,212.5,215.589996337891,212.240005493164,215.559997558594,21655300,208.26921081543
2020-01-07,215.639999389648,216.139999389648,214.850006103516,215.529998779297,22139300,208.240280151367
2020-01-08,215.5,218.139999389648,215.160003662109,217.149993896484,26397300,209.805465698242
2020-01-09,218.940002441406,219.410003662109,217.710006713867,218.990005493164,23547000,211.583267211914
2020-01-10,219.850006103516,219.869995117188,218.039993286133,218.429992675781,21898500,211.042190551758
2020-01-13,219.330001831055,220.979995727539,218.979995727539,220.949996948242,22756900,213.476913452148
2020-01-14,220.839996337891,221.210006713867,219.740005493164,220.080001831055,24418100,212.636383056641
2020-01-15,220.199996948242,221.199996948242,219.449996948242,220.169998168945,25742100,212.723373413086
2020-01-16,221.270004272461,222.320007324219,220.800003051758,222.279998779297,18805000,214.761947631836
2020-01-17,223.279998779297,223.559997558594,222.119995117188,223.380004882812,24325200,215.824752807617
2020-01-21,222.759994506836,223.839996337891,222.660003662109,223.279998779297,21146300,215.728149414062
2020-01-22,224.410003662109,225.149993896484,223.589996337891,223.869995117188,20736400,216.298187255859
2020-01-23,223.740005493164,224.690002441406,222.699996948242,224.589996337891,26496100,216.993804931641
2020-01-24,225.639999389648,225.880004882812,221.669998168945,222.699996948242,37436500,215.167724609375
2020-01-27,217.669998168945,219.279998779297,217.179992675781,218.100006103516,42264400,210.723388671875
2020-01-28,219.639999389648,221.960006713867,219.059997558594,221.449996948242,26731900,213.960037231445
2020-01-29,222.679992675781,222.929992675781,220.830001831055,221.809997558594,28924500,214.307815551758
2020-01-30,220.380004882812,222.699996948242,219.690002441406,222.600006103516,39568100,215.071136474609
2020-01-31,223.529998779297,223.559997558594,218.289993286133,219.070007324219,52015800,211.660537719727
2020-02-03,220.139999389648,222.889999389648,219.990005493164,222.380004882812,25408600,214.85856628418
2020-02-04,225.419998168945,227.860000610352,224.649993896484,227.470001220703,30691200,219.776428222656
2020-02-05,230.210006713867,230.25,226.850006103516,228.220001220703,38534800,220.501068115234
2020-02-06,228.789993286133,230.25,227.979995727539,230.190002441406,22467100,222.404449462891
2020-02-07,229.160003662109,230.440002441406,228.539993286133,229.199996948242,25884900,221.44792175293
2020-02-10,228.440002441406,231.979995727539,228.380004882812,231.970001220703,21478900,224.124237060547
2020-02-11,233.25,234.020004272461,231.399993896484,232.009994506836,30198000,224.162857055664
2020-02-12,233.380004882812,234.380004882812,232.800003051758,234.270004272461,24471300,226.346435546875
2020-02-13,232.639999389648,234.929992675781,232.360000610352,233.970001220703,22773200,226.056610107422
2020-02-14,234.339996337891,234.860000610352,233.550003051758,234.639999389648,23438500,226.703918457031
2020-02-18,233.5,235.169998168945,233.25,234.729995727539,24394500,226.790832519531
2020-02-19,236.130004882812,237.470001220703,235.850006103516,236.979995727539,22230500,228.964767456055
