"Date","SQQQ.Open","SQQQ.High","SQQQ.Low","SQQQ.Close","SQQQ.Volume","SQQQ.Adjusted"
2020-07-28,802.5,827.5,796.25,823.75,556918,733.744506835938
2020-07-29,810,815,787.5,795,513185,708.135864257812
2020-07-30,816.25,826.25,778.75,782.5,849546,697.001647949219
2020-07-31,741.25,786.25,740,741.25,910531,660.258728027344
2020-08-03,723.75,725,705,712.5,672642,634.650024414062
2020-08-04,717.5,722.5,702.5,702.5,543710,625.742736816406
2020-08-05,700,707.5,695,698.75,439294,622.402404785156
2020-08-06,701.25,705,667.5,670,751532,596.793701171875
2020-08-07,675,710,668.75,692.5,938980,616.835327148438
2020-08-10,691.25,731.25,690,702.5,829174,625.742736816406
2020-08-11,712.5,747.5,701.25,742.5,832505,661.372131347656
2020-08-12,723.75,725,677.5,685,849736,610.15478515625
2020-08-13,681.25,688.75,663.75,681.25,795310,606.814453125
2020-08-14,677.5,695,675,685,559445,610.15478515625
2020-08-17,670,672.5,657.5,660,429232,587.886291503906
2020-08-18,652.25,663,637.5,641.25,927576,571.184997558594
2020-08-19,641.25,657,633.5,654,1310580,582.541931152344
2020-08-20,659.75,662.5,623,626.5,1336756,558.046691894531
2020-08-21,625.75,629.75,610.5,613.5,1324144,546.467041015625
2020-08-24,592.25,617.5,586.5,601.75,1489080,536.0009765625
2020-08-25,607,610,587.5,587.75,1169072,523.530700683594
2020-08-26,580.25,581,549,550,1936968,489.9052734375
2020-08-27,543.75,568.5,539.25,555.5,2538076,494.804412841797
2020-08-28,548.25,555.75,543,546.25,1436352,486.565093994141
2020-08-31,543.5,546,523,533.75,1954852,475.430816650391
2020-09-01,519,528.25,505.5,506,1938652,450.712890625
2020-09-02,489.25,521.5,488.75,491.5,3131780,437.797210693359
2020-09-03,513.5,581,511.75,567,6914160,505.047790527344
2020-09-04,575.75,658.5,556.75,589.5,8313068,525.089416503906
2020-09-08,659.25,675.25,621.75,673.25,4829016,599.688598632812
2020-09-09,632,650.5,598,615,3029624,547.803161621094
2020-09-10,593.75,662.5,585.5,650.25,4025536,579.20166015625
2020-09-11,636,690,630,664,4823256,591.449279785156
2020-09-14,635.5,645.5,614.25,630,2882208,561.164184570312
2020-09-15,603.75,615,593,602.5,2551928,536.669006347656
2020-09-16,598,633.5,594.25,632,2886408,562.945739746094
2020-09-17,680,686.25,646.75,660.5,4398784,588.331787109375
2020-09-18,651.5,717.5,648.25,687,4729244,611.936279296875
2020-09-21,717,735.5,677.25,677.75,4548332,603.697021484375
2020-09-22,658.75,685.75,636,640.5,2955136,570.516906738281
2020-09-23,643,705.25,641.5,700,4004348,623.515808105469
