"Date","SOXL.Open","SOXL.High","SOXL.Low","SOXL.Close","SOXL.Volume","SOXL.Adjusted"
2020-01-02,19.0086669921875,19.4659996032715,18.7526664733887,19.4640007019043,10438500,18.9077777862549
2020-01-03,18.5,18.8853321075439,18.2746677398682,18.4126663208008,14713500,17.8864898681641
2020-01-06,17.7339992523193,17.9966678619385,17.4293327331543,17.8286666870117,11313000,17.3191757202148
2020-01-07,18.4039993286133,19.0060005187988,18.1233329772949,18.7479991912842,10441500,18.2122364044189
2020-01-08,18.8266677856445,19.1233329772949,18.4860000610352,18.7893333435059,10024500,18.2523937225342
2020-01-09,19.4659996032715,19.4826679229736,18.5473327636719,19.1140003204346,11472000,18.5677795410156
2020-01-10,19.3759994506836,19.3819999694824,18.5839996337891,18.7233333587646,11304000,18.1882762908936
2020-01-13,19.1266670227051,19.5013332366943,18.9200000762939,19.457332611084,8160000,18.9013023376465
2020-01-14,19.470666885376,20.0179996490479,19.2226676940918,19.5826663970947,9610500,19.0230503082275
2020-01-15,19.5733337402344,19.6233329772949,18.6666679382324,18.8766670227051,11518500,18.3372287750244
2020-01-16,19.3433322906494,19.8239994049072,19.2999992370605,19.8226661682129,10807500,19.2561893463135
2020-01-17,20.0773334503174,20.2360000610352,19.7473335266113,20.207332611084,11839500,19.6298694610596
2020-01-21,19.9559993743896,20.3999996185303,19.9333324432373,20.1700000762939,6961500,19.5936012268066
2020-01-22,20.6340007781982,21.291332244873,20.4659996032715,20.6513328552246,10747500,20.0611820220947
2020-01-23,20.8906669616699,21.1333332061768,20.2486667633057,21.1226673126221,9354000,20.5190448760986
2020-01-24,21.9506664276123,22.0666675567627,19.957332611084,20.4086666107178,19885500,19.8254470825195
2020-01-27,18.5860004425049,18.796667098999,17.9373321533203,18.041332244873,19500000,17.5257663726807
2020-01-28,18.7333335876465,19.4966678619385,18.3333320617676,19.3326663970947,14221500,18.7801971435547
2020-01-29,19.1173324584961,19.2433338165283,18.2026672363281,18.2666664123535,12270000,17.7446613311768
2020-01-30,17.9006671905518,18.3726673126221,17.1433334350586,18.1986675262451,17106000,17.6786022186279
