"Date","IBIT.Open","IBIT.High","IBIT.Low","IBIT.Close","IBIT.Volume","IBIT.Adjusted"
2024-01-11,27.9400005340576,30,26.2800006866455,26.6299991607666,37657300,26.6299991607666
2024-01-12,26.3999996185303,26.4099998474121,24.75,24.9699993133545,22991900,24.9699993133545
2024-01-16,24.7000007629395,24.8619995117188,24.0400009155273,24.7199993133545,15078200,24.7199993133545
2024-01-17,24.3500003814697,24.5599994659424,24.1499996185303,24.4099998474121,13964500,24.4099998474121
2024-01-18,24.3500003814697,24.4699993133545,23.2000007629395,23.3400001525879,17823200,23.3400001525879
2024-01-19,23.4899997711182,24.1200008392334,23.0300006866455,23.7999992370605,18284100,23.7999992370605
2024-01-22,23.2000007629395,23.3299999237061,22.5,22.9500007629395,17222100,22.9500007629395
2024-01-23,22.1900005340576,22.6299991607666,22.0200004577637,22.3199996948242,13431700,22.3199996948242
2024-01-24,22.8199996948242,22.9699993133545,22.5699996948242,22.6000003814697,11929100,22.6000003814697
2024-01-25,22.8600006103516,22.8999996185303,22.5799999237061,22.7600002288818,8954900,22.7600002288818
2024-01-26,23.5200004577637,24.1200008392334,23.4799995422363,23.9899997711182,20273800,23.9899997711182
2024-01-29,23.9899997711182,24.7700004577637,23.8799991607666,24.6700000762939,19012900,24.6700000762939
2024-01-30,24.8400001525879,24.9799995422363,24.6849994659424,24.8799991607666,15541300,24.8799991607666
2024-01-31,24.3799991607666,25,24.2600002288818,24.2999992370605,13369300,24.2999992370605
2024-02-01,24.2099990844727,24.7199993133545,24.1900005340576,24.5400009155273,12411400,24.5400009155273
2024-02-02,24.3899993896484,24.8250007629395,24.3799991607666,24.5,10329000,24.5
2024-02-05,24.75,24.7900009155273,24.1299991607666,24.1900005340576,6807500,24.1900005340576
2024-02-06,24.4699993133545,24.7700004577637,24.4500007629395,24.6000003814697,7352900,24.6000003814697
2024-02-07,24.6599998474121,25.2859992980957,24.4899997711182,25.2199993133545,13952200,25.2199993133545
2024-02-08,25.7549991607666,26.0799999237061,25.6399993896484,26.0300006866455,18568500,26.0300006866455
