"Date","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.Adjusted"
2020-01-02,286.440002441406,288.630004882812,286.149993896484,288.619995117188,3865500,258.577911376953
2020-01-03,285.339996337891,287.109985351562,285.179992675781,286.320007324219,3296700,256.517456054688
2020-01-06,284.290008544922,287.029998779297,284.160003662109,286.980010986328,1645100,257.108825683594
2020-01-07,286.299987792969,286.790008544922,285.579986572266,285.739990234375,1413000,255.997756958008
2020-01-08,285.320007324219,288.670013427734,285.079986572266,287.399993896484,3136700,257.485015869141
2020-01-09,288.950012207031,289.839996337891,288.429992675781,289.559997558594,1783100,259.420135498047
2020-01-10,289.959991455078,290.040008544922,287.839996337891,288.239990234375,2989600,258.237518310547
2020-01-13,288.790008544922,289.079986572266,288.140014648438,289.019989013672,1463300,258.936370849609
2020-01-14,288.869995117188,290.489990234375,288.720001220703,289.220001220703,2198500,259.115570068359
2020-01-15,289.010009765625,291.239990234375,288.950012207031,290.350006103516,2195100,260.1279296875
2020-01-16,291.630004882812,292.970001220703,291.470001220703,292.929992675781,2522000,262.439453125
2020-01-17,293.519989013672,293.609985351562,292.790008544922,293.269989013672,2147400,262.867645263672
2020-01-21,292.440002441406,293.279998779297,291.369995117188,291.829986572266,4476900,261.577056884766
2020-01-22,292.5,293.070007324219,291.579986572266,291.809997558594,2077000,261.559234619141
2020-01-23,290.75,291.859985351562,289.600006103516,291.540008544922,1872600,261.317199707031
2020-01-24,292.540008544922,292.769989013672,288.339996337891,289.799987792969,3612500,259.757476806641
2020-01-27,284.850006103516,286.649993896484,283.859985351562,285.359985351562,4129100,255.77799987793
2020-01-28,286.220001220703,288.190002441406,285.75,287.290008544922,2999200,257.507720947266
2020-01-29,288.989990234375,289.279998779297,287.209991455078,287.290008544922,2126300,257.507720947266
2020-01-30,285.670013427734,288.769989013672,284.850006103516,288.540008544922,3433200,258.628234863281
2020-01-31,286.959991455078,287.230010986328,281.609985351562,282.420013427734,4885700,253.142669677734
2020-02-03,283.690002441406,286.260009765625,283.5,283.980010986328,3157400,254.540878295898
2020-02-04,287.679992675781,289,287.420013427734,288.040008544922,3004100,258.180084228516
2020-02-05,290.760009765625,293.040008544922,289.950012207031,292.859985351562,3305900,262.500335693359
2020-02-06,294.019989013672,294.140014648438,292.450012207031,293.739990234375,2857200,263.2890625
2020-02-07,292.760009765625,292.809997558594,290.660003662109,291.190002441406,3839300,261.003479003906
2020-02-10,290.200012207031,292.959991455078,290.160003662109,292.950012207031,2877700,262.580902099609
2020-02-11,294.350006103516,294.420013427734,292.279998779297,292.940002441406,1994500,262.571899414062
2020-02-12,294.630004882812,295.869995117188,294.529998779297,295.720001220703,2804400,265.063873291016
2020-02-13,294.390014648438,295.839996337891,293.920013427734,294.820007324219,2638000,264.257202148438
2020-02-14,294.970001220703,295.130004882812,293.399993896484,294.540008544922,1861700,264.006225585938
2020-02-18,293.149993896484,293.880004882812,291.760009765625,292.950012207031,2397800,262.580902099609
2020-02-19,293.769989013672,294.720001220703,293.390014648438,294.100006103516,1474400,263.611846923828
2020-02-20,293.559997558594,294.290008544922,290.170013427734,292.779998779297,3493900,262.4287109375
2020-02-21,290.799987792969,291.049987792969,288.75,289.739990234375,3271800,260.418762207031
2020-02-24,280.329986572266,282.779998779297,278.970001220703,279.559997558594,6595200,251.269119262695
2020-02-25,280.799987792969,281.359985351562,269.880004882812,270.700012207031,9903700,243.305770874023
2020-02-26,271.989990234375,275.309997558594,268.829986572266,269.739990234375,7477600,242.442825317383
2020-02-27,264.859985351562,267.730010986328,257.390014648438,257.5,11188900,231.44157409668
2020-02-28,250.520004272461,255.119995117188,247,254.559997558594,17541400,228.799072265625
2020-03-02,256.709991455078,267.25,254.059997558594,267.029998779297,8544500,240.007110595703
2020-03-03,267.799987792969,271.019989013672,257.179992675781,259.299987792969,11482600,233.05940246582
2020-03-04,265.450012207031,271.109985351562,262.959991455078,270.890014648438,5408100,243.476501464844
2020-03-05,264.269989013672,266.529998779297,259.559997558594,261.459991455078,5872900,235.000793457031
2020-03-06,253.669998168945,260.100006103516,252.429992675781,258.850006103516,7372400,232.654907226562
2020-03-09,241.5,247.070007324219,237.169998168945,238.720001220703,10406900,214.562042236328
2020-03-10,247.289993286133,250.539993286133,237.089996337891,250.470001220703,9407100,225.123046875
2020-03-11,243.539993286133,244.910003662109,233.600006103516,235.839996337891,7687200,211.97346496582
2020-03-12,220.5,229,211.830001831055,212.110000610352,17322600,190.644912719727
2020-03-13,225.649993896484,232.479995727539,213.289993286133,232.110000610352,13676000,208.620956420898
2020-03-16,206.5,218.309997558594,201.509994506836,202.490005493164,12407000,181.998519897461
2020-03-17,207.009994506836,214.470001220703,199.350006103516,213.470001220703,16128100,191.867340087891
2020-03-18,199.070007324219,205.440002441406,189.669998168945,199.389999389648,13369800,179.212173461914
2020-03-19,198.369995117188,204.979995727539,192.320007324219,201.309997558594,13532100,180.93782043457
2020-03-20,203.289993286133,205.289993286133,191,191.899993896484,12206000,172.997406005859
2020-03-23,190.130004882812,191.199996948242,182.100006103516,186.130004882812,15712300,167.795776367188
2020-03-24,196.270004272461,207.210006713867,196.210006713867,206.639999389648,14123600,186.285568237305
2020-03-25,210.570007324219,220.169998168945,205.320007324219,212.059997558594,17556100,191.171661376953
2020-03-26,214.429992675781,225.869995117188,214.009994506836,225.070007324219,16071900,202.900161743164
2020-03-27,217.610000610352,223.259994506836,214.570007324219,216.350006103516,10545600,195.039093017578
2020-03-30,217.360000610352,223.720001220703,215.100006103516,223.100006103516,7691800,201.124221801758
2020-03-31,221.949996948242,224.75,218.440002441406,219.229995727539,8426600,197.635391235352
2020-04-01,210.649993896484,214.779998779297,207.770004272461,209.380004882812,8570300,188.755630493164
2020-04-02,208.309997558594,214.789993286133,207.179992675781,213.960006713867,8231900,192.884521484375
2020-04-03,212.729995727539,214.550003051758,208.690002441406,210.600006103516,6664500,189.855499267578
2020-04-06,218.949996948242,227.910003662109,218.119995117188,226.529998779297,10322500,204.216339111328
2020-04-07,235.460006713867,236.160003662109,226.449996948242,226.600006103516,10857700,204.279434204102
2020-04-08,229.139999389648,235.25,226.839996337891,234.330001831055,7010200,211.248031616211
2020-04-09,237.839996337891,240.190002441406,235.110000610352,237.139999389648,9393200,213.78125
2020-04-13,236.410003662109,236.690002441406,230.960006713867,233.960006713867,6761900,210.914459228516
2020-04-14,238.699996948242,240.470001220703,236.880004882812,239.679992675781,5391900,216.071075439453
2020-04-15,234.479995727539,236.580001831055,232.389999389648,235.080001831055,6828000,211.924163818359
2020-04-16,235.699996948242,236.059997558594,232.179992675781,235.339996337891,6126400,212.158508300781
2020-04-17,241.600006103516,242.660003662109,238.25,242.429992675781,5924500,218.670974731445
2020-04-20,238.240005493164,241.110000610352,236.259994506836,236.639999389648,7357400,213.448425292969
2020-04-21,231.330001831055,233.339996337891,229.410003662109,230.220001220703,6571400,207.65754699707
2020-04-22,234.399993896484,236.270004272461,233.389999389648,234.770004272461,4318000,211.761627197266
2020-04-23,235.509994506836,238.919998168945,234.830001831055,235.070007324219,6364800,212.032180786133
