asset,ds,prev_close,y_real,y_pred,yhat_lower,yhat_upper,in_ci,delta_pred_rel,delta_real_rel,direccion_pred,direccion_real,rsi,macd,cci,semaforo,score,position,strat_ret,fee,equity
UPRO,2025-05-13,77.7900009155273,79.370002746582,75.44493485909081,73.63141628131972,75.41908604514627,False,-0.03014611169606512,0.02031111727033448,baja,sube,65.61234297386099,1.8693738751413858,166.3243466626882,amarillo,0.4,flat,0.0,0.0,1000.0
UPRO,2025-05-14,79.370002746582,79.6399993896484,79.0496477595177,77.47390789907246,79.25200552049482,False,-0.004036222451536978,0.003401746676618569,baja,sube,65.90078737033706,1.911448043906814,150.3075156340052,amarillo,0.4,flat,0.0,0.0,1000.0
UPRO,2025-05-15,79.6399993896484,80.7799987792969,79.65546914902525,78.71359063336395,80.58461074022311,False,0.0001942461011478458,0.014314407312723883,se mantiene,sube,67.15357808189358,1.9053503223671424,148.25836000366525,amarillo,0.6,flat,0.0,0.0,1000.0
UPRO,2025-05-16,80.7799987792969,82.2900009155273,81.04028117483313,79.57035884261728,81.36638140918149,False,0.003222114378181079,0.018692772456656636,sube,sube,68.78924931074388,1.888649077963499,148.79747388465947,verde,0.8,long,0.01869277245665657,0.0,1018.6927724566566
UPRO,2025-05-19,82.2900009155273,82.5500030517578,82.42593498329067,80.65059456023391,82.50548739462381,False,0.0016518904636167414,0.003159583586557445,sube,sube,69.07481387022614,1.7821005646270516,135.78550225907645,verde,0.8,long,0.003159583586557435,0.0,1021.9114174202554
UPRO,2025-05-20,82.5500030517578,81.6500015258789,82.50012607808327,81.581254560221,83.46117082135626,True,-0.0006042031717825206,-0.010902501424677144,se mantiene,baja,66.79654434422199,1.5467324814821217,107.7852097402195,amarillo,0.6,flat,0.0,0.0,1021.9114174202554
UPRO,2025-05-21,81.6500015258789,77.5599975585938,82.2300559193606,81.45039851913515,83.27756885441772,False,0.007104156554091929,-0.05009190313350791,sube,baja,57.512949379187944,1.035857351896491,51.425914184823924,verde,1.0,long,-0.050091903133507865,0.0,970.7219296878142
UPRO,2025-05-22,77.5599975585938,77.5400009155273,78.18459512460758,78.51116588922694,80.44652771264246,False,0.00805308903654767,-0.00025782160515669145,sube,se mantiene,57.47089335769868,0.6364580922493319,44.69672574574357,verde,1.0,long,-0.00025782160515663843,0.0,970.4716566017413
UPRO,2025-05-23,77.5400009155273,75.9199981689453,77.61515040994291,76.70743790228397,78.64123764655733,False,0.0009691706671177448,-0.020892477785070532,se mantiene,baja,54.02426279233397,0.22430764904495737,19.590064688863247,verde,0.8,long,-0.02089247778507053,0.0,950.1960990751488
UPRO,2025-05-27,75.9199981689453,80.5599975585938,76.49382536093285,75.70107381212,77.53819130317207,False,0.007558314091507295,0.061116958661182864,sube,sube,61.201378369376535,0.22475808762038518,73.57774443421316,verde,0.8,long,0.06111695866118283,0.0,1008.2691947823419
UPRO,2025-05-28,80.5599975585938,79.1699981689453,80.1488632026989,77.82380168150576,79.69853005322244,True,-0.005103455416515757,-0.017254213403339772,baja,baja,58.26694111971875,0.09846244868987108,49.791603615521815,amarillo,0.6,flat,0.0,0.0,1008.2691947823419
UPRO,2025-05-29,79.1699981689453,80.0599975585938,79.63341868431405,78.90418976555767,80.7667214938159,True,0.005853486498507101,0.011241624481906505,sube,sube,59.60254422575442,0.044625229708980196,57.847651085326675,verde,1.0,long,0.011241624481906465,0.0,1019.6037784467592
