asset,ds,prev_close,y_real,y_pred,yhat_lower,yhat_upper,in_ci,delta_pred_rel,delta_real_rel,direccion_pred,direccion_real,rsi,macd,cci,semaforo,score,position,strat_ret,fee,equity
BTC,2025-05-22,109678.078125,111673.28125,110218.28375188168,110341.09645300604,112849.24007588545,True,0.004925374661160725,0.018191448638679362,sube,sube,80.42136046102692,706.337099986571,150.0919446843877,verde,0.8,long,0.018191448638679386,0.0,1018.1914486386794
BTC,2025-05-23,111673.28125,107287.796875,112962.07727936716,113165.96575983343,115641.61545721302,False,0.011540773360836159,-0.03927066820202348,sube,baja,66.2048530429155,432.68662724919704,82.24498770495853,verde,0.8,long,-0.03927066820202352,0.0,978.2063900930522
BTC,2025-05-27,107287.796875,108994.640625,108445.33881909703,108714.79464735388,111096.64255285221,True,0.010789129591743506,0.015909020407871993,sube,sube,68.53613324809054,306.3196824762208,100.10893949444957,verde,0.8,long,0.01590902040787201,0.0,993.7686955161533
BTC,2025-05-28,108994.640625,107802.328125,109436.98038319313,109653.90594691364,112310.76592272191,False,0.004058362463114318,-0.0109391846531445,sube,baja,65.1549510491578,93.17602029584305,79.15251328380862,verde,0.8,long,-0.010939184653144474,0.0,982.8976762533877
BTC,2025-05-29,107802.328125,105641.7578125,107316.63075790527,107499.344723979,109970.25361416486,False,-0.004505444135970358,-0.02004196337944348,baja,baja,59.43305431205457,-225.18858280117547,39.35902985974935,amarillo,0.4,flat,0.0,0.0,982.8976762533877
BTC,2025-05-30,105641.7578125,103998.5703125,105094.36066813291,105138.47592376503,107446.62027725048,False,-0.005181636085028476,-0.015554336978341824,baja,baja,55.44502297427314,-559.2830219051357,3.050743258178545,amarillo,0.4,flat,0.0,0.0,982.8976762533877
BTC,2025-06-02,103998.5703125,105881.53125,103603.22029033896,103196.94059782279,105329.09259715433,False,-0.0038014947799097395,0.018105642527988478,baja,sube,58.85235437143595,-659.4175602241621,34.44668769638484,amarillo,0.4,flat,0.0,0.0,982.8976762533877
BTC,2025-06-03,105881.53125,105432.46875,105526.04598099994,104852.05846659411,107160.63398317575,True,-0.0033573869286108882,-0.004241178746647565,baja,baja,57.71868927959022,-754.982689067584,15.171464341977005,amarillo,0.4,flat,0.0,0.0,982.8976762533877
BTC,2025-06-04,105432.46875,104731.984375,105046.58932018775,104745.77888471985,107083.66325265785,False,-0.0036599676967371784,-0.006643915136436564,baja,baja,55.9095045146301,-856.9985170375039,-14.61936520844288,rojo,0.2,short,0.006688351979390328,0.0,989.4716418718951
BTC,2025-06-05,104731.984375,101575.953125,104394.19116445813,103560.58413399095,105924.553897698,False,-0.003225310897694648,-0.03013435932522404,baja,baja,48.52886311830384,-1112.4636719577043,-127.47083893375361,rojo,0.2,short,0.031070653564197137,0.0,1020.2151724680941
BTC,2025-06-06,101575.953125,104390.34375,101011.20038932508,99895.54647313239,102243.93186021432,False,-0.005559905846809347,0.027707252931573216,baja,sube,54.31998213425706,-1067.1620808407738,-37.79542047011385,rojo,0.2,short,-0.0269602582374866,0.0,992.7099079605524
BTC,2025-06-09,104390.34375,110294.1015625,103556.2484570354,102435.43220243695,104718.62499247033,False,-0.007990157547159154,0.05655463523176683,baja,sube,63.57754697457955,-636.1320295634787,137.68520649253088,rojo,0.2,short,-0.053527411972747574,0.0,939.5727157477196
BTC,2025-06-10,110294.1015625,110257.234375,109730.29931477518,109236.29423178498,111625.88723025385,True,-0.005111807791510301,-0.0003342625487466217,baja,se mantiene,63.49101454012787,-363.59709533621754,117.26932324615382,rojo,0.2,short,0.00033437431755833913,0.0,939.8868847333442
BTC,2025-06-11,110257.234375,108686.625,110031.59080961543,110180.56875044067,112892.57359427118,False,-0.0020465193659503964,-0.01424495529842642,baja,baja,59.75942048094932,-301.7416934865223,63.57992527476094,amarillo,0.4,flat,0.0,0.0,939.8868847333442
BTC,2025-06-12,108686.625,105929.0546875,108181.4210514105,108240.26161994104,110882.8881474979,False,-0.004648262365212766,-0.02537175399916963,baja,baja,53.78263962479174,-450.24004708500934,-20.054596364228843,rojo,0.2,short,0.02603223752572026,0.0,964.354243364032
BTC,2025-06-13,105929.0546875,106090.96875,104989.23761692292,104927.40887216092,107400.79967769588,True,-0.008872136859425566,0.001528514183173452,baja,sube,54.073089267649145,-535.4586697852455,-19.64827673092629,rojo,0.2,short,-0.001526181393267767,0.0,962.882463861291
BTC,2025-06-16,106090.96875,106796.7578125,105043.53190737235,103936.98889847595,106382.42821321786,False,-0.009873006675015858,0.0066526780819880105,baja,sube,55.38916564089575,-540.6182315421138,-2.7225610713310604,rojo,0.2,short,-0.006608712445551279,0.0,956.5190505387677
BTC,2025-06-17,106796.7578125,104601.1171875,106236.61172635421,105519.61844456718,107978.18688977038,False,-0.005244972765270846,-0.020559056941174405,baja,baja,50.53742082888694,-679.2581382303238,-73.96767786383025,rojo,0.2,short,0.020990603963285226,0.0,976.5969631119646
BTC,2025-06-18,104601.1171875,104883.328125,103280.1049479312,102590.58242514379,105038.71196959549,True,-0.012629045225213494,0.0026979724986505656,baja,sube,51.12995463882456,-734.6143414747717,-58.98261498851183,rojo,0.2,short,-0.002690713028896896,0.0,973.969220939338
BTC,2025-06-20,104883.328125,103309.6015625,103478.27929508401,102046.3125766728,104512.82519933519,True,-0.013396302873240765,-0.015004544484176093,baja,baja,47.698478222864665,-851.6353299884536,-100.97686877320466,rojo,0.2,short,0.015233110366299707,0.0,988.8058015752858
BTC,2025-06-23,103309.6015625,105577.7734375,102135.4347118226,100645.49347486935,103026.46966408537,False,-0.01136551523690715,0.021955092660267465,baja,sube,52.632668559362706,-754.0501455864314,-20.36709255825436,rojo,0.2,short,-0.021483422136598818,0.0,967.562869128926
BTC,2025-06-24,105577.7734375,106045.6328125,103369.92714690653,101840.28585734071,104339.17446989316,False,-0.02091203686825688,0.004431419225533902,baja,sube,53.60496158475681,-640.2426513128239,-0.01830756621815012,rojo,0.2,short,-0.004411868387142581,0.0,963.294109094043
BTC,2025-06-25,106045.6328125,107361.2578125,104623.12879346388,103660.45805694464,106153.71075017822,False,-0.013414074500844904,0.012406215749838237,baja,sube,56.32015519710055,-466.671640235332,59.61922852024149,amarillo,0.4,flat,0.0,0.0,963.294109094043
BTC,2025-06-26,107361.2578125,106960.0,105902.35253736633,105428.93936934261,107726.0221873277,True,-0.013588749841973367,-0.0037374544661238295,baja,baja,55.25796996808006,-373.2447049264433,45.751093004279774,amarillo,0.4,flat,0.0,0.0,963.294109094043
BTC,2025-06-27,106960.0,107088.4296875,105590.18801751567,105125.22251179998,107602.35223633361,True,-0.012806768721805634,0.0012007263229244578,baja,sube,55.54694785282354,-300.29399900453745,46.655727994461515,amarillo,0.4,flat,0.0,0.0,963.294109094043
BTC,2025-06-30,107088.4296875,107135.3359375,105900.32283124984,104995.00185501084,107455.37943896656,True,-0.011094633283140237,0.0004380141733040575,baja,se mantiene,55.65958939940387,-248.51979808234273,42.68022898994019,amarillo,0.4,flat,0.0,0.0,963.294109094043
BTC,2025-07-01,107135.3359375,105698.28125,106156.96526473323,105552.11314898118,107933.04130844599,True,-0.0091321006669315,-0.013413452013053292,baja,baja,51.36527440515872,-306.8692027397567,-19.1707914258976,rojo,0.2,short,0.013595818877139898,0.0,976.3908813267014
BTC,2025-07-02,105698.28125,108859.3203125,104505.31494738936,103294.5760028382,105588.26528524642,False,-0.011286525083496972,0.0299062484755399,baja,sube,58.880513939586685,-137.04415958984282,102.13608090219566,amarillo,0.4,flat,0.0,0.0,976.3908813267014
BTC,2025-07-03,108859.3203125,109647.9765625,107828.30488896096,106737.68860947611,109140.95613777751,False,-0.009471080846172139,0.0072447287722909,baja,sube,60.519667818739734,15.806120173552927,117.70847522828642,amarillo,0.4,flat,0.0,0.0,976.3908813267014
BTC,2025-07-07,109647.9765625,108299.8515625,108287.0251638889,107927.85766800992,110203.60501096041,True,-0.012412006507346238,-0.012295028529154487,baja,baja,56.38214201320706,13.603870054263325,59.87951826294671,amarillo,0.6,flat,0.0,0.0,976.3908813267014
BTC,2025-07-08,108299.8515625,108950.2734375,106884.02569594499,106421.7621577298,108814.49808364947,False,-0.01307320228170335,0.006005750382996976,baja,sube,57.87837410832616,41.844730282441105,79.18192062544888,amarillo,0.6,flat,0.0,0.0,976.3908813267014
BTC,2025-07-09,108950.2734375,111326.5546875,107968.37268355979,106923.69197022678,109351.23636556817,False,-0.009012375306276599,0.021810695604753745,baja,sube,62.88729961981428,197.7312505220807,173.11150909211966,amarillo,0.4,flat,0.0,0.0,976.3908813267014
BTC,2025-07-10,111326.5546875,115987.203125,110516.89050918848,109728.48140579728,112252.958720659,False,-0.007272875555920084,0.04186466068749461,baja,sube,70.3376704404165,570.7840762594051,291.0882210953805,amarillo,0.4,flat,0.0,0.0,976.3908813267014
BTC,2025-07-11,115987.203125,117516.9921875,115001.05874674996,114921.14049772453,117281.78836299862,False,-0.008502182582911926,0.01318929176049998,baja,sube,72.30309536689346,859.2914260848243,253.67480161428747,amarillo,0.4,flat,0.0,0.0,976.3908813267014
BTC,2025-07-14,117516.9921875,119849.703125,118505.98133940493,118713.62161129684,121278.49553233387,True,0.00841571191957484,0.019849988449143825,sube,sube,75.02103440348333,1128.965376826822,234.80275120378585,verde,0.8,long,0.019849988449143874,0.0,995.7722290428859
BTC,2025-07-15,119849.703125,117777.1875,121333.85866052112,121629.28837330146,124261.10139098996,False,0.012383472773171433,-0.017292622100518865,sube,baja,68.58173641011302,1088.9937555076817,154.82280979256376,verde,0.8,long,-0.01729262210051885,0.0,978.5527161878559
BTC,2025-07-16,117777.1875,118738.5078125,118312.55561059806,118678.6592934647,121309.72101442004,True,0.004545601079139922,0.008162194503922927,sube,sube,69.87343185044654,1048.1679517794678,140.47520720693188,verde,0.8,long,0.00816219450392297,0.0,986.5398537897233
BTC,2025-07-17,118738.5078125,119289.84375,119057.42588319557,119496.61831889633,122189.52867336196,False,0.0026858857886202367,0.004643278306736132,sube,sube,70.61948575349263,980.3936873594403,124.78250027346421,verde,0.8,long,0.004643278306736054,0.0,991.1206328915557
BTC,2025-07-18,119289.84375,118003.2265625,119564.61912361883,120066.65876318651,122715.24141221859,False,0.002303426385524388,-0.010785638970207805,sube,baja,66.48194762655466,779.7530986181846,92.72629872958323,verde,0.8,long,-0.01078563897020779,0.0,980.4307635692635
BTC,2025-07-21,118003.2265625,117439.5390625,117843.51637247714,118244.12984297612,121084.35741788303,False,-0.0013534391785318604,-0.004776882093994649,baja,baja,64.6935977028023,550.7108517665679,74.78522381441749,amarillo,0.4,flat,0.0,0.0,980.4307635692635
BTC,2025-07-22,117439.5390625,119995.4140625,116489.9666853529,116926.49109240569,119485.297908237,False,-0.008085627589544123,0.021763326222183077,baja,sube,68.79271747765452,513.7017783519509,96.2931805484117,amarillo,0.4,flat,0.0,0.0,980.4307635692635
BTC,2025-07-23,119995.4140625,118754.9609375,119431.96535023012,119728.03090207987,122491.21114084256,False,-0.004695585382758072,-0.010337504434577025,baja,baja,64.85703832120711,355.55183224299344,72.15162171024072,amarillo,0.4,flat,0.0,0.0,980.4307635692635
BTC,2025-07-24,118754.9609375,118368.0,118698.54875945121,118807.28551139747,121527.4700263183,False,-0.0004750300754044341,-0.003258482293667337,se mantiene,baja,63.63400598919741,183.42111846981015,61.00219920606703,amarillo,0.6,flat,0.0,0.0,980.4307635692635
